project,checkstyle,RAW
google_google,,
Sun_Sun,,
apache_shardingsphere,https://github.com/elastic/elasticsearch/blob/master/build-tools-internal/src/main/resources/checkstyle.xml,https://raw.githubusercontent.com/elastic/elasticsearch/master/build-tools-internal/src/main/resources/checkstyle.xml
dromara_shenyu,https://github.com/apache/dubbo/blob/master/codestyle/checkstyle.xml,https://raw.githubusercontent.com/apache/dubbo/master/codestyle/checkstyle.xml
dromara_hmily,https://github.com/zxing/zxing/blob/master/src/checkstyle/checkstyle.xml,https://raw.githubusercontent.com/zxing/zxing/master/src/checkstyle/checkstyle.xml
apereo_cas,https://github.com/skylot/jadx/blob/master/config/checkstyle/checkstyle.xml,https://raw.githubusercontent.com/skylot/jadx/master/config/checkstyle/checkstyle.xml
apache_incubator-heron,https://github.com/eugenp/tutorials/blob/master/testing-modules/testing-libraries/checkstyle.xml,https://raw.githubusercontent.com/eugenp/tutorials/master/testing-modules/testing-libraries/checkstyle.xml
androidannotations_androidannotations,https://github.com/JakeWharton/butterknife/blob/master/checkstyle.xml,https://raw.githubusercontent.com/JakeWharton/butterknife/master/checkstyle.xml
Tencent_tinker,https://github.com/Netflix/Hystrix/blob/master/codequality/checkstyle.xml,https://raw.githubusercontent.com/Netflix/Hystrix/master/codequality/checkstyle.xml
scribejava_scribejava,https://github.com/seata/seata/blob/develop/style/seata_checkstyle.xml,https://raw.githubusercontent.com/seata/seata/develop/style/seata_checkstyle.xml
powermock_powermock,https://github.com/halo-dev/halo/blob/master/config/checkstyle/checkstyle.xml,https://raw.githubusercontent.com/halo-dev/halo/master/config/checkstyle/checkstyle.xml
redisson_redisson,https://github.com/apache/kafka/blob/trunk/checkstyle/checkstyle.xml,https://raw.githubusercontent.com/apache/kafka/trunk/checkstyle/checkstyle.xml
skylot_jadx,https://github.com/square/picasso/blob/master/checkstyle.xml,https://raw.githubusercontent.com/square/picasso/master/checkstyle.xml
halo-dev_halo,https://github.com/alibaba/nacos/blob/develop/style/NacosCheckStyle.xml,https://raw.githubusercontent.com/alibaba/nacos/develop/style/NacosCheckStyle.xml
alibaba_nacos,https://github.com/apache/skywalking/blob/master/apm-checkstyle/checkStyle.xml,https://raw.githubusercontent.com/apache/skywalking/master/apm-checkstyle/checkStyle.xml
citerus_dddsample-core,https://github.com/redisson/redisson/blob/master/checkstyle.xml,https://raw.githubusercontent.com/redisson/redisson/master/checkstyle.xml
Netflix_Hystrix,https://github.com/apache/flink/blob/master/tools/maven/checkstyle.xml,https://raw.githubusercontent.com/apache/flink/master/tools/maven/checkstyle.xml
TeamNewPipe_NewPipe,https://github.com/Tencent/tinker/blob/dev/checkstyle.xml,https://raw.githubusercontent.com/Tencent/tinker/dev/checkstyle.xml
Netflix_zuul,https://github.com/oracle/graal/blob/master/sdk/src/org.graalvm.word/.checkstyle_checks.xml,https://raw.githubusercontent.com/oracle/graal/master/sdk/src/org.graalvm.word/.checkstyle_checks.xml
Netflix_eureka,https://github.com/apache/rocketmq/blob/master/style/rmq_checkstyle.xml,https://raw.githubusercontent.com/apache/rocketmq/master/style/rmq_checkstyle.xml
OpenFeign_feign,https://github.com/apache/shardingsphere/blob/master/src/resources/checkstyle.xml,https://raw.githubusercontent.com/apache/shardingsphere/master/src/resources/checkstyle.xml
Netflix_ribbon,https://github.com/TeamNewPipe/NewPipe/blob/dev/checkstyle.xml,https://raw.githubusercontent.com/TeamNewPipe/NewPipe/dev/checkstyle.xml
apache_hive,https://github.com/orhanobut/logger/blob/master/checkstyle.xml,https://raw.githubusercontent.com/orhanobut/logger/master/checkstyle.xml
Netflix_SimianArmy,https://github.com/prestodb/presto/blob/master/src/checkstyle/presto-checks.xml,https://raw.githubusercontent.com/prestodb/presto/master/src/checkstyle/presto-checks.xml
real-logic_aeron,https://github.com/zhihu/Matisse/blob/master/checkstyle.xml,https://raw.githubusercontent.com/zhihu/Matisse/master/checkstyle.xml
apache_camel,https://github.com/apache/hadoop/blob/trunk/hadoop-build-tools/src/main/resources/checkstyle/checkstyle.xml,https://raw.githubusercontent.com/apache/hadoop/trunk/hadoop-build-tools/src/main/resources/checkstyle/checkstyle.xml
Genymobile_gnirehtet,https://github.com/pinpoint-apm/pinpoint/blob/master/checkstyle-UTF8(ver0.6).xml,https://raw.githubusercontent.com/pinpoint-apm/pinpoint/master/checkstyle-UTF8(ver0.6).xml
oracle_graal,https://github.com/Tencent/VasSonic/blob/master/checkstyle.xml,https://raw.githubusercontent.com/Tencent/VasSonic/master/checkstyle.xml
apache_storm,https://github.com/androidannotations/androidannotations/blob/develop/AndroidAnnotations/checkstyle-checks.xml,https://raw.githubusercontent.com/androidannotations/androidannotations/develop/AndroidAnnotations/checkstyle-checks.xml
square_otto,https://github.com/realm/realm-java/blob/master/realm/config/checkstyle/checkstyle.xml,https://raw.githubusercontent.com/realm/realm-java/master/realm/config/checkstyle/checkstyle.xml
Alluxio_alluxio,https://github.com/Netflix/zuul/blob/master/codequality/checkstyle.xml,https://raw.githubusercontent.com/Netflix/zuul/master/codequality/checkstyle.xml
sshahine_JFoenix,https://github.com/apache/druid/blob/master/codestyle/checkstyle.xml,https://raw.githubusercontent.com/apache/druid/master/codestyle/checkstyle.xml
mrniko_netty-socketio,https://github.com/Netflix/eureka/blob/master/codequality/checkstyle.xml,https://raw.githubusercontent.com/Netflix/eureka/master/codequality/checkstyle.xml
springfox_springfox,https://github.com/JakeWharton/ViewPagerIndicator/blob/master/checkstyle.xml,https://raw.githubusercontent.com/JakeWharton/ViewPagerIndicator/master/checkstyle.xml
zxing_zxing,https://github.com/lingochamp/FileDownloader/blob/master/checkstyle.xml,https://raw.githubusercontent.com/lingochamp/FileDownloader/master/checkstyle.xml
prestodb_presto,https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh/blob/master/ptr-lib/checkstyle.xml,https://raw.githubusercontent.com/liaohuqiu/android-Ultra-Pull-To-Refresh/master/ptr-lib/checkstyle.xml
pockethub_PocketHub,https://github.com/pockethub/PocketHub/blob/master/script/style/checkstyle.xml,https://raw.githubusercontent.com/pockethub/PocketHub/master/script/style/checkstyle.xml
apache_zookeeper,https://github.com/apache/zookeeper/blob/master/zookeeper-server/src/test/resources/checkstyle.xml,https://raw.githubusercontent.com/apache/zookeeper/master/zookeeper-server/src/test/resources/checkstyle.xml
grpc_grpc-java,https://github.com/openjdk/jdk/blob/master/make/langtools/conf/checkstyle-langtools.xml,https://raw.githubusercontent.com/openjdk/jdk/master/make/langtools/conf/checkstyle-langtools.xml
mybatis_generator,https://github.com/grpc/grpc-java/blob/master/buildscripts/checkstyle.xml,https://raw.githubusercontent.com/grpc/grpc-java/master/buildscripts/checkstyle.xml
oblac_jodd,https://github.com/apereo/cas/blob/master/style/checkstyle-rules.xml,https://raw.githubusercontent.com/apereo/cas/master/style/checkstyle-rules.xml
OpenAPITools_openapi-generator,https://github.com/Tencent/matrix/blob/master/matrix/matrix-android/checkstyle.xml,https://raw.githubusercontent.com/Tencent/matrix/master/matrix/matrix-android/checkstyle.xml
Activiti_Activiti,https://github.com/apache/pulsar/blob/master/buildtools/src/main/resources/pulsar/checkstyle.xml,https://raw.githubusercontent.com/apache/pulsar/master/buildtools/src/main/resources/pulsar/checkstyle.xml
mapstruct_mapstruct,https://github.com/ChrisRM/material-theme-jetbrains/blob/master/gradle/checkstyle.xml,https://raw.githubusercontent.com/ChrisRM/material-theme-jetbrains/master/gradle/checkstyle.xml
brianfrankcooper_YCSB,https://github.com/OpenAPITools/openapi-generator/blob/master/google_checkstyle.xml,https://raw.githubusercontent.com/OpenAPITools/openapi-generator/master/google_checkstyle.xml
apache_hadoop,https://github.com/Tencent/matrix/blob/master/matrix/matrix-android/checkstyle.xml,https://raw.githubusercontent.com/Tencent/matrix/master/matrix/matrix-android/checkstyle.xml
ChrisRM_material-theme-jetbrains,https://github.com/Netflix/SimianArmy/blob/master/codequality/checkstyle.xml,https://raw.githubusercontent.com/Netflix/SimianArmy/master/codequality/checkstyle.xml
apache_kafka,https://github.com/Activiti/Activiti/blob/develop/checkstyle-rules.xml,https://raw.githubusercontent.com/Activiti/Activiti/develop/checkstyle-rules.xml
orhanobut_logger,https://github.com/dropwizard/metrics/blob/a50a09351091917a2de0bc3cb7049e8346e8a4a7/checkstyle.xml,https://raw.githubusercontent.com/dropwizard/metrics/a50a09351091917a2de0bc3cb7049e8346e8a4a7/checkstyle.xml
apache_jmeter,https://github.com/square/dagger/blob/master/checkstyle.xml,https://raw.githubusercontent.com/square/dagger/master/checkstyle.xml
micronaut-projects_micronaut-core,https://github.com/JakeWharton/ActionBarSherlock/blob/master/checkstyle.xml,https://raw.githubusercontent.com/JakeWharton/ActionBarSherlock/master/checkstyle.xml
JakeWharton_butterknife,https://github.com/apache/shardingsphere-elasticjob/blob/master/src/main/resources/checkstyle.xml,https://raw.githubusercontent.com/apache/shardingsphere-elasticjob/master/src/main/resources/checkstyle.xml
zhihu_Matisse,https://github.com/OpenFeign/feign/blob/master/codequality/checkstyle.xml,https://raw.githubusercontent.com/OpenFeign/feign/master/codequality/checkstyle.xml
roboguice_roboguice,https://github.com/java-native-access/jna/blob/master/checkstyle.xml,https://raw.githubusercontent.com/java-native-access/jna/master/checkstyle.xml
lingochamp_FileDownloader,https://github.com/apache/storm/blob/master/storm-checkstyle/src/main/resources/storm/storm_checkstyle.xml,https://raw.githubusercontent.com/apache/storm/master/storm-checkstyle/src/main/resources/storm/storm_checkstyle.xml
airbnb_DeepLinkDispatch,https://github.com/Angel-ML/angel/blob/cc118189081699bd8f7972c5a3f7adfc15108487/dev/checkstyle.xml,https://raw.githubusercontent.com/Angel-ML/angel/cc118189081699bd8f7972c5a3f7adfc15108487/dev/checkstyle.xml
JakeWharton_DiskLruCache,https://github.com/JakeWharton/DiskLruCache/blob/3e016356cfc7e5f9644a7a732fe0223e9742e024/checkstyle.xml,https://raw.githubusercontent.com/JakeWharton/DiskLruCache/3e016356cfc7e5f9644a7a732fe0223e9742e024/checkstyle.xml
orhanobut_dialogplus,https://github.com/real-logic/aeron/blob/e45664e171882e34759fa26d0499465732001bb0/config/checkstyle/checkstyle.xml,https://raw.githubusercontent.com/real-logic/aeron/e45664e171882e34759fa26d0499465732001bb0/config/checkstyle/checkstyle.xml
JodaOrg_joda-time,https://github.com/sshahine/JFoenix/blob/master/config/checkstyle/checkstyle.xml,https://raw.githubusercontent.com/sshahine/JFoenix/master/config/checkstyle/checkstyle.xml
square_picasso,https://github.com/evernote/android-job/blob/master/build-config/checkstyle/checkstyle.xml,https://raw.githubusercontent.com/evernote/android-job/master/build-config/checkstyle/checkstyle.xml
apache_pulsar,https://github.com/mrniko/netty-socketio/blob/master/checkstyle.xml,https://raw.githubusercontent.com/mrniko/netty-socketio/master/checkstyle.xml
square_dagger,https://github.com/lightbend/config/blob/main/config/checkstyle-config.xml,https://raw.githubusercontent.com/lightbend/config/main/config/checkstyle-config.xml
evernote_android-job,https://github.com/square/otto/blob/master/checkstyle.xml,https://raw.githubusercontent.com/square/otto/master/checkstyle.xml
square_android-times-square,https://github.com/apache/jmeter/blob/master/config/checkstyle/checkstyle.xml,https://raw.githubusercontent.com/apache/jmeter/master/config/checkstyle/checkstyle.xml
Tencent_VasSonic,https://github.com/scribejava/scribejava/blob/master/checkstyle.xml,https://raw.githubusercontent.com/scribejava/scribejava/master/checkstyle.xml
dropwizard_metrics,https://github.com/springfox/springfox/blob/master/config/checkstyle.xml,https://raw.githubusercontent.com/springfox/springfox/master/config/checkstyle.xml
apache_skywalking,https://github.com/apache/beam/blob/master/sdks/java/build-tools/src/main/resources/beam/checkstyle.xml,https://raw.githubusercontent.com/apache/beam/master/sdks/java/build-tools/src/main/resources/beam/checkstyle.xml
Tencent_matrix,https://github.com/debezium/debezium/blob/master/support/checkstyle/src/main/resources/checkstyle.xml,https://raw.githubusercontent.com/debezium/debezium/master/support/checkstyle/src/main/resources/checkstyle.xml
Karumi_Dexter,https://github.com/mybatis/generator/blob/master/core/checkstyle-override.xml,https://raw.githubusercontent.com/mybatis/generator/master/core/checkstyle-override.xml
apache_flink,https://github.com/Alluxio/alluxio/blob/master/build/checkstyle/alluxio_checks.xml,https://raw.githubusercontent.com/Alluxio/alluxio/master/build/checkstyle/alluxio_checks.xml
apache_druid,https://github.com/Karumi/Dexter/blob/master/config/checkstyle.xml,https://raw.githubusercontent.com/Karumi/Dexter/master/config/checkstyle.xml
HotBitmapGG_bilibili-android-client,https://github.com/orhanobut/dialogplus/blob/master/checkstyle.xml,https://raw.githubusercontent.com/orhanobut/dialogplus/master/checkstyle.xml
apache_rocketmq-externals,https://github.com/micronaut-projects/micronaut-core/blob/b581ba6b2a16da720b91ff4e60541f964aafd082/config/checkstyle/checkstyle.xml,https://raw.githubusercontent.com/micronaut-projects/micronaut-core/b581ba6b2a16da720b91ff4e60541f964aafd082/config/checkstyle/checkstyle.xml
AntennaPod_AntennaPod,https://github.com/JodaOrg/joda-time/blob/master/src/main/checkstyle/checkstyle.xml,https://raw.githubusercontent.com/JodaOrg/joda-time/master/src/main/checkstyle/checkstyle.xml
seata_seata,https://github.com/hibernate/hibernate-orm/blob/main/shared/config/checkstyle/checkstyle.xml,https://raw.githubusercontent.com/hibernate/hibernate-orm/main/shared/config/checkstyle/checkstyle.xml
apache_rocketmq,https://github.com/junit-team/junit5/blob/main/src/checkstyle/checkstyleMain.xml,https://raw.githubusercontent.com/junit-team/junit5/main/src/checkstyle/checkstyleMain.xml
apache_beam,https://github.com/JakeWharton/NineOldAndroids/blob/master/checkstyle.xml,https://raw.githubusercontent.com/JakeWharton/NineOldAndroids/master/checkstyle.xml
oracle_opengrok,https://github.com/dromara/shenyu/blob/master/script/shenyu_checkstyle.xml,https://raw.githubusercontent.com/apache/incubator-shenyu/master/script/shenyu_checkstyle.xml
Angel-ML_angel,https://github.com/square/android-times-square/blob/master/checkstyle.xml,https://raw.githubusercontent.com/square/android-times-square/master/checkstyle.xml
pinpoint-apm_pinpoint,https://github.com/HotBitmapGG/bilibili-android-client/blob/master-x/checkstyle.xml,https://raw.githubusercontent.com/HotBitmapGG/bilibili-android-client/master-x/checkstyle.xml
debezium,https://github.com/quartz-scheduler/quartz/blob/master/quartz-core/src/main/resources/checkstyle.xml,https://raw.githubusercontent.com/quartz-scheduler/quartz/master/quartz-core/src/main/resources/checkstyle.xml
apache_ignite,https://github.com/airbnb/DeepLinkDispatch/blob/master/checkstyle.xml,https://raw.githubusercontent.com/airbnb/DeepLinkDispatch/master/checkstyle.xml
apache_tomcat,,
wildfly_wildfly,,
elastic_elasticsearch,https://github.com/Netflix/ribbon/blob/master/codequality/checkstyle.xml,https://raw.githubusercontent.com/Netflix/ribbon/master/codequality/checkstyle.xml
JakeWharton_ViewPagerIndicator,https://github.com/mapstruct/mapstruct/blob/master/build-config/src/main/resources/build-config/checkstyle.xml,https://raw.githubusercontent.com/mapstruct/mapstruct/master/build-config/src/main/resources/build-config/checkstyle.xml
hibernate_hibernate-orm,https://github.com/roboguice/roboguice/blob/master/roboguice_checks.xml,https://raw.githubusercontent.com/roboguice/roboguice/master/roboguice_checks.xml
liaohuqiu_android-Ultra-Pull-To-Refresh,https://github.com/apache/ignite/blob/master/checkstyle/checkstyle.xml,https://raw.githubusercontent.com/apache/ignite/master/checkstyle/checkstyle.xml
JakeWharton_ActionBarSherlock,https://github.com/apache/camel/blob/main/buildingtools/src/main/resources/camel-checkstyle.xml,https://raw.githubusercontent.com/apache/camel/main/buildingtools/src/main/resources/camel-checkstyle.xml
realm_realm-java,https://github.com/apache/hive/blob/master/checkstyle/checkstyle.xml,https://raw.githubusercontent.com/apache/hive/master/checkstyle/checkstyle.xml
apache_dubbo,https://github.com/bjmashibing/InternetArchitect/blob/master/08%20dubbo%E5%BE%AE%E4%BF%A1%E5%BC%80%E5%8F%91/dubbo-admin-develop/codestyle/checkstyle.xml,https://raw.githubusercontent.com/bjmashibing/InternetArchitect/master/08%20dubbo%E5%BE%AE%E4%BF%A1%E5%BC%80%E5%8F%91/dubbo-admin-develop/codestyle/checkstyle.xml
junit-team_junit5,https://github.com/brianfrankcooper/YCSB/blob/master/checkstyle.xml,https://raw.githubusercontent.com/brianfrankcooper/YCSB/master/checkstyle.xml
openjdk_jdk,https://github.com/apache/rocketmq-externals/blob/master/rocketmq-jms/style/rmq_checkstyle.xml,https://raw.githubusercontent.com/apache/rocketmq-externals/master/rocketmq-jms/style/rmq_checkstyle.xml
JakeWharton_NineOldAndroids,https://github.com/AntennaPod/AntennaPod/blob/develop/config/checkstyle/checkstyle.xml,https://raw.githubusercontent.com/AntennaPod/AntennaPod/develop/config/checkstyle/checkstyle.xml
runelite_runelite,https://github.com/dromara/hmily/blob/master/script/hmily_checkstyle.xml,https://raw.githubusercontent.com/dromara/hmily/master/script/hmily_checkstyle.xml
bjmashibing_InternetArchitect,https://github.com/oblac/jodd/blob/master/checkstyle.xml,https://raw.githubusercontent.com/oblac/jodd/master/checkstyle.xml
java-native-access_jna,https://github.com/apache/incubator-heron/blob/master/tools/java/src/org/apache/bazel/checkstyle/heron_coding_style.xml,https://github.com/apache/incubator-heron/blob/master/tools/java/src/org/apache/bazel/checkstyle/heron_coding_style.xml
ReactiveX_RxJava,https://github.com/Atmosphere/atmosphere/blob/9115b0747b0fb99b5a09477471614aec1d109ced/buildtools/src/main/resources/atmosphere-checkstyle.xml,https://raw.githubusercontent.com/Atmosphere/atmosphere/9115b0747b0fb99b5a09477471614aec1d109ced/buildtools/src/main/resources/atmosphere-checkstyle.xml
lightbend_config,https://github.com/powermock/powermock/blob/42c72daf9d8b04129178d1d3f1fb4e485d3c13dc/config/checkstyle/checkstyle.xml,https://raw.githubusercontent.com/powermock/powermock/42c72daf9d8b04129178d1d3f1fb4e485d3c13dc/config/checkstyle/checkstyle.xml
querydsl_querydsl,https://github.com/Genymobile/gnirehtet/blob/master/config/checkstyle/checkstyle.xml,https://raw.githubusercontent.com/Genymobile/gnirehtet/master/config/checkstyle/checkstyle.xml
eugenp_tutorials,https://github.com/citerus/dddsample-core/blob/master/src/main/config/checkstyle.xml,https://raw.githubusercontent.com/citerus/dddsample-core/master/src/main/config/checkstyle.xml
quartz-scheduler_quartz,https://github.com/querydsl/querydsl/blob/master/src/main/resources/querydsl_checks_main.xml,https://raw.githubusercontent.com/querydsl/querydsl/master/src/main/resources/querydsl_checks_main.xml
Atmosphere_atmosphere,https://github.com/oracle/opengrok/blob/master/dev/checkstyle/style.xml,https://raw.githubusercontent.com/oracle/opengrok/master/dev/checkstyle/style.xml
runelite/runelite,https://github.com/runelite/runelite/blob/master/checkstyle.xml,
ragunathjawahar/android-saripaar,https://github.com/ragunathjawahar/android-saripaar/blob/master/config/quality/checkstyle/checkstyle.xml,
mock-server/mockserver,https://github.com/mock-server/mockserver/blob/master/checkstyle.xml,
promeG/TinyPinyin,https://github.com/promeG/TinyPinyin/blob/master/config/quality/checkstyle/checkstyle.xml,
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper/blob/master/core/files/checkstyle.xml,
eclipse/jetty.project,https://github.com/eclipse/jetty.project/blob/b56edf511ab4399122ea2c6162a4a5988870f479/build-resources/src/main/resources/jetty-checkstyle.xml,
line/armeria,https://github.com/line/armeria/blob/master/settings/checkstyle/checkstyle.xml,
crate/crate,https://github.com/crate/crate/blob/master/gradle/checkstyle/rules.xml,
apache/incubator-pinot,https://github.com/apache/incubator-pinot/blob/master/config/checkstyle.xml,
apache/kylin,https://github.com/apache/kylin/blob/master/dev-support/checkstyle.xml,
jeremylong/DependencyCheck,https://github.com/jeremylong/DependencyCheck/blob/main/src/main/config/checkstyle-checks.xml,
pedrovgs/DraggablePanel,https://github.com/pedrovgs/DraggablePanel/blob/develop/config/checkstyle/checkstyle.xml,
stephanenicolas/robospice,https://github.com/stephanenicolas/robospice/blob/release/robospice_checks.xml,
javaee/jersey,https://github.com/javaee/jersey/blob/master/etc/config/checkstyle.xml,
Polidea/RxAndroidBle,https://github.com/Polidea/RxAndroidBle/blob/master/checkstyle.xml,
geftimov/android-pathview,https://github.com/geftimov/android-pathview/blob/master/android-pathview/config/checkstyle/checkstyle.xml,
micrometer-metrics/micrometer,https://github.com/micrometer-metrics/micrometer/blob/main/config/checkstyle/checkstyle.xml,
javaee/jersey,https://github.com/javaee/jersey/blob/master/etc/config/checkstyle.xml,
geftimov/android-pathview,https://github.com/geftimov/android-pathview/blob/master/android-pathview/config/checkstyle/checkstyle.xml,
