Anotation,Block Checks ,Class Design,Coding,Headers,Imports,Javadoc Comments,Metrics,Miscellaneous,Modifiers,Naming Conventios,Regexp,Size Violations,Whitespace
AnotationLocation,AvoidNestedBlocks,DesignForExtension,ArrayTrailingComma,Header,AvoidStarImport,AtclauseOrder,BooleanExpressionComplexity,ArrayTypeStyle,ClassMemberImpliedModifier,Overview,Regexp,AnonInnerLength,EmptyForInitializerPad
AnnotationOnSameLine,EmptyBlock,FinalClass,AvoidDoubleBraceInitialization,RegexpHeader,AvoidStaticImport,InvalidJavadocPosition,ClassDataAbstractionCoupling,AvoidEscapedUnicodeCharacters,InterfaceMemberImpliedModifier,AbbreviationAsWordInName,RegexpMultiline,ExecutableStatementCount,EmptyForIteratorPad
AnnotationUseStyle,EmptyCatchBlock,HideUtilityClassConstructor,AvoidInlineConditionals,,CustomImportOrder,JavadocBlockTagLocation,ClassFanOutComplexity,CommentsIndentation,ModifierOrder,AbstractClassName,RegexpOnFilename,FileLength,EmptyLineSeparator
MissingDeprecated,LeftCurly,InnerTypeLast,AvoidNoArgumentSuperConstructorCall,,IllegalImport,JavadocContentLocation,CyclomaticComplexity,DescendantToken,RedundantModifier,CatchParameterName,RegexpSingleline,LambdaBodyLength,FileTabCharacter
MissingOverride,NeedBraces,InterfaceIsType,CovariantEquals,,ImportControl,JavadocMethod,JavaNCSS,FinalParameters,,ClassTypeParameterName,RegexpSinglelineJava,LineLength,GenericWhitespace
PackageAnnotation,RightCurly,MutableException,DeclarationOrder,,ImportOrder,JavadocMissingLeadingAsterisk,NPathComplexity,Indentation,,ConstantName,,MethodCount,MethodParamPad
SuppressWarnings,,OneTopLevelClass,DefaultComesLast,,RedundantImport,JavadocMissingWhitespaceAfterAsterisk,,NewlineAtEndOfFile,,IllegalIdentifierName,,MethodLength,NoLineWrap
SuppressWarningsHolder,,ThrowsCount,EmptyStatement,,UnusedImports,JavadocPackage,,NoCodeInFile,,InterfaceTypeParameterName,,OuterTypeNumber,NoWhitespaceAfter
,,VisibilityModifier,EqualsAvoidNull,,,JavadocParagraph,,OrderedProperties,,LambdaParameterName,,ParameterNumber,NoWhitespaceBefore
,,,EqualsHashCode,,,JavadocStyle,,OuterTypeFilename,,LocalFinalVariableName,,RecordComponentNumber,OperatorWrap
,,,ExplicitInitialization,,,JavadocTagContinuationIndentation,,TodoComment,,LocalVariableName,,,ParenPad
,,,FallThrough,,,JavadocType,,TrailingComment,,MemberName,,,SeparatorWrap
,,,FinalLocalVariable,,,JavadocVariable,,Translation,,MethodName,,,SingleSpaceSeparator
,,,HiddenField,,,MissingJavadocMethod,,UncommentedMain,,MethodTypeParameterName,,,TypecastParenPad
,,,IllegalCatch,,,MissingJavadocPackage,,UniqueProperties,,PackageName,,,WhitespaceAfter
,,,IllegalInstantiation,,,MissingJavadocType,,UpperEll,,ParameterName,,,WhitespaceAround
,,,IllegalThrows,,,NonEmptyAtclauseDescription,,,,PatternVariableName,,,
,,,IllegalToken,,,RequireEmptyLineBeforeBlockTagGroup,,,,RecordComponentName,,,
,,,IllegalTokenText,,,SingleLineJavadoc,,,,RecordTypeParameterName,,,
,,,IllegalType,,,SummaryJavadoc,,,,StaticVariableName,,,
,,,InnerAssignment,,,WriteTag,,,,TypeName,,,
,,,MagicNumber,,,,,,,,,,
,,,MatchXpath,,,,,,,,,,
,,,MissingCtor,,,,,,,,,,
,,,MissingSwitchDefault,,,,,,,,,,
,,,ModifiedControlVariable,,,,,,,,,,
,,,MultipleStringLiterals,,,,,,,,,,
,,,MultipleVariableDeclarations,,,,,,,,,,
,,,NestedForDepth,,,,,,,,,,
,,,NestedIfDepth,,,,,,,,,,
,,,NestedTryDepth,,,,,,,,,,
,,,NoArrayTrailingComma,,,,,,,,,,
,,,NoClone,,,,,,,,,,
,,,NoEnumTrailingComma,,,,,,,,,,
,,,NoFinalizer,,,,,,,,,,
,,,OneStatementPerLine,,,,,,,,,,
,,,OverloadMethodsDeclarationOrder,,,,,,,,,,
,,,PackageDeclaration,,,,,,,,,,
,,,ParameterAssignment,,,,,,,,,,
,,,RequireThis,,,,,,,,,,
,,,ReturnCount,,,,,,,,,,
,,,SimplifyBooleanExpression,,,,,,,,,,
,,,SimplifyBooleanReturn,,,,,,,,,,
,,,StringLiteralEquality,,,,,,,,,,
,,,SuperClone,,,,,,,,,,
,,,SuperFinalize,,,,,,,,,,
,,,UnnecessaryParentheses,,,,,,,,,,
,,,UnnecessarySemicolonAfterOuterTypeDeclaration,,,,,,,,,,
,,,UnnecessarySemicolonAfterTypeMemberDeclaration,,,,,,,,,,
,,,UnnecessarySemicolonInEnumeration,,,,,,,,,,
,,,UnnecessarySemicolonInTryWithResources,,,,,,,,,,
,,,VariableDeclarationUsageDistance,,,,,,,,,,
