,rulename
0,AnotationLocation
1,AnnotationOnSameLine
2,AnnotationUseStyle
3,MissingDeprecated
4,MissingOverride
5,PackageAnnotation
6,SuppressWarnings
7,SuppressWarningsHolder
8,AvoidNestedBlocks
9,EmptyBlock
10,EmptyCatchBlock
11,LeftCurly
12,NeedBraces
13,RightCurly
14,DesignForExtension
15,FinalClass
16,HideUtilityClassConstructor
17,InnerTypeLast
18,InterfaceIsType
19,MutableException
20,OneTopLevelClass
21,ThrowsCount
22,VisibilityModifier
23,ArrayTrailingComma
24,AvoidDoubleBraceInitialization
25,AvoidInlineConditionals
26,AvoidNoArgumentSuperConstructorCall
27,CovariantEquals
28,DeclarationOrder
29,DefaultComesLast
30,EmptyStatement
31,EqualsAvoidNull
32,EqualsHashCode
33,ExplicitInitialization
34,FallThrough
35,FinalLocalVariable
36,HiddenField
37,IllegalCatch
38,IllegalInstantiation
39,IllegalThrows
40,IllegalToken
41,IllegalTokenText
42,IllegalType
43,InnerAssignment
44,MagicNumber
45,MatchXpath
46,MissingCtor
47,MissingSwitchDefault
48,ModifiedControlVariable
49,MultipleStringLiterals
50,MultipleVariableDeclarations
51,NestedForDepth
52,NestedIfDepth
53,NestedTryDepth
54,NoArrayTrailingComma
55,NoClone
56,NoEnumTrailingComma
57,NoFinalizer
58,OneStatementPerLine
59,OverloadMethodsDeclarationOrder
60,PackageDeclaration
61,ParameterAssignment
62,RequireThis
63,ReturnCount
64,SimplifyBooleanExpression
65,SimplifyBooleanReturn
66,StringLiteralEquality
67,SuperClone
68,SuperFinalize
69,UnnecessaryParentheses
70,UnnecessarySemicolonAfterOuterTypeDeclaration
71,UnnecessarySemicolonAfterTypeMemberDeclaration
72,UnnecessarySemicolonInEnumeration
73,UnnecessarySemicolonInTryWithResources
74,VariableDeclarationUsageDistance
75,Header
76,RegexpHeader
77,AvoidStarImport
78,AvoidStaticImport
79,CustomImportOrder
80,IllegalImport
81,ImportControl
82,ImportOrder
83,RedundantImport
84,UnusedImports
85,AtclauseOrder
86,InvalidJavadocPosition
87,JavadocBlockTagLocation
88,JavadocContentLocation
89,JavadocMethod
90,JavadocMissingLeadingAsterisk
91,JavadocMissingWhitespaceAfterAsterisk
92,JavadocPackage
93,JavadocParagraph
94,JavadocStyle
95,JavadocTagContinuationIndentation
96,JavadocType
97,JavadocVariable
98,MissingJavadocMethod
99,MissingJavadocPackage
100,MissingJavadocType
101,NonEmptyAtclauseDescription
102,RequireEmptyLineBeforeBlockTagGroup
103,SingleLineJavadoc
104,SummaryJavadoc
105,WriteTag
106,BooleanExpressionComplexity
107,ClassDataAbstractionCoupling
108,ClassFanOutComplexity
109,CyclomaticComplexity
110,JavaNCSS
111,NPathComplexity
112,ArrayTypeStyle
113,AvoidEscapedUnicodeCharacters
114,CommentsIndentation
115,DescendantToken
116,FinalParameters
117,Indentation
118,NewlineAtEndOfFile
119,NoCodeInFile
120,OrderedProperties
121,OuterTypeFilename
122,TodoComment
123,TrailingComment
124,Translation
125,UncommentedMain
126,UniqueProperties
127,UpperEll
128,ClassMemberImpliedModifier
129,InterfaceMemberImpliedModifier
130,ModifierOrder
131,RedundantModifier
132,Overview
133,AbbreviationAsWordInName
134,AbstractClassName
135,CatchParameterName
136,ClassTypeParameterName
137,ConstantName
138,IllegalIdentifierName
139,InterfaceTypeParameterName
140,LambdaParameterName
141,LocalFinalVariableName
142,LocalVariableName
143,MemberName
144,MethodName
145,MethodTypeParameterName
146,PackageName
147,ParameterName
148,PatternVariableName
149,RecordComponentName
150,RecordTypeParameterName
151,StaticVariableName
152,TypeName
153,Regexp
154,RegexpMultiline
155,RegexpOnFilename
156,RegexpSingleline
157,RegexpSinglelineJava
158,AnonInnerLength
159,ExecutableStatementCount
160,FileLength
161,LambdaBodyLength
162,LineLength
163,MethodCount
164,MethodLength
165,OuterTypeNumber
166,ParameterNumber
167,RecordComponentNumber
168,EmptyForInitializerPad
169,EmptyForIteratorPad
170,EmptyLineSeparator
171,FileTabCharacter
172,GenericWhitespace
173,MethodParamPad
174,NoLineWrap
175,NoWhitespaceAfter
176,NoWhitespaceBefore
177,OperatorWrap
178,ParenPad
179,SeparatorWrap
180,SingleSpaceSeparator
181,TypecastParenPad
182,WhitespaceAfter
183,WhitespaceAround
184,TreeWalker
