ruleName / ProjectName,google_google,Sun_Sun,apache_shardingsphere,dromara_shenyu,dromara_hmily,apereo_cas,apache_incubator-heron,androidannotations_androidannotations,Tencent_tinker,scribejava_scribejava,powermock_powermock,redisson_redisson,skylot_jadx,halo-dev_halo,alibaba_nacos,citerus_dddsample-core,Netflix_Hystrix,TeamNewPipe_NewPipe,Netflix_zuul,Netflix_eureka,OpenFeign_feign,Netflix_ribbon,apache_hive,Netflix_SimianArmy,real-logic_aeron,apache_camel,Genymobile_gnirehtet,oracle_graal,apache_storm,square_otto,Alluxio_alluxio,sshahine_JFoenix,mrniko_netty-socketio,springfox_springfox,zxing_zxing,prestodb_presto,pockethub_PocketHub,apache_zookeeper,grpc_grpc-java,mybatis_generator,oblac_jodd,OpenAPITools_openapi-generator,Activiti_Activiti,mapstruct_mapstruct,brianfrankcooper_YCSB,apache_hadoop,ChrisRM_material-theme-jetbrains,apache_kafka,orhanobut_logger,apache_jmeter,micronaut-projects_micronaut-core,JakeWharton_butterknife,zhihu_Matisse,roboguice_roboguice,lingochamp_FileDownloader,airbnb_DeepLinkDispatch,JakeWharton_DiskLruCache,orhanobut_dialogplus,JodaOrg_joda-time,square_picasso,apache_pulsar,square_dagger,evernote_android-job,square_android-times-square,Tencent_VasSonic,dropwizard_metrics,apache_skywalking,Tencent_matrix,Karumi_Dexter,apache_flink,apache_druid,HotBitmapGG_bilibili-android-client,apache_rocketmq-externals,AntennaPod_AntennaPod,seata_seata,apache_rocketmq,apache_beam,oracle_opengrok,Angel-ML_angel,pinpoint-apm_pinpoint,debezium,apache_ignite,apache_tomcat,wildfly_wildfly,elastic_elasticsearch,JakeWharton_ViewPagerIndicator,hibernate_hibernate-orm,liaohuqiu_android-Ultra-Pull-To-Refresh,JakeWharton_ActionBarSherlock,realm_realm-java,apache_dubbo,junit-team_junit5,openjdk_jdk,JakeWharton_NineOldAndroids,runelite_runelite,bjmashibing_InternetArchitect,java-native-access_jna,ReactiveX_RxJava,lightbend_config,querydsl_querydsl,eugenp_tutorials,quartz-scheduler_quartz,Atmosphere_atmosphere
AnotationLocation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AnnotationOnSameLine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AnnotationOnSameLine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AnnotationUseStyle,0,0,AnnotationUseStyle,AnnotationUseStyle,AnnotationUseStyle,AnnotationUseStyle,AnnotationUseStyle,AnnotationUseStyle,0,AnnotationUseStyle,0,0,AnnotationUseStyle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AnnotationUseStyle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AnnotationUseStyle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MissingDeprecated,0,0,MissingDeprecated,MissingDeprecated,MissingDeprecated,MissingDeprecated,MissingDeprecated,MissingDeprecated,0,MissingDeprecated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MissingDeprecated,0,0,0,MissingDeprecated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MissingDeprecated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MissingDeprecated,0,0,0,0,0,0,0,0,0,MissingDeprecated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MissingOverride,0,0,MissingOverride,MissingOverride,MissingOverride,MissingOverride,MissingOverride,MissingOverride,0,MissingOverride,MissingOverride,0,MissingOverride,0,0,0,0,0,0,0,0,0,MissingOverride,0,0,0,0,0,0,0,0,0,0,0,MissingOverride,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MissingOverride,0,0,0,0,0,0,0,0,MissingOverride,0,0,0,0,0,0,0,MissingOverride,0,0,0,0,0,0,0,0,0,0,0,0,0,MissingOverride,MissingOverride,MissingOverride,0,0,0,MissingOverride,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PackageAnnotation,0,0,0,0,0,0,PackageAnnotation,0,0,0,PackageAnnotation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PackageAnnotation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PackageAnnotation,0,PackageAnnotation,PackageAnnotation,0,0,PackageAnnotation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SuppressWarnings,0,0,SuppressWarnings,SuppressWarnings,SuppressWarnings,0,0,0,0,0,SuppressWarnings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SuppressWarnings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SuppressWarningsHolder,0,0,SuppressWarningsHolder,SuppressWarningsHolder,SuppressWarningsHolder,0,SuppressWarningsHolder,SuppressWarningsHolder,0,0,SuppressWarningsHolder,SuppressWarningsHolder,SuppressWarningsHolder,0,SuppressWarningsHolder,0,0,SuppressWarningsHolder,0,0,0,0,SuppressWarningsHolder,0,SuppressWarningsHolder,SuppressWarningsHolder,SuppressWarningsHolder,0,SuppressWarningsHolder,0,0,0,0,SuppressWarningsHolder,SuppressWarningsHolder,SuppressWarningsHolder,0,0,0,0,0,0,0,SuppressWarningsHolder,0,SuppressWarningsHolder,SuppressWarningsHolder,0,SuppressWarningsHolder,0,SuppressWarningsHolder,0,0,SuppressWarningsHolder,SuppressWarningsHolder,0,0,0,0,0,SuppressWarningsHolder,0,0,0,SuppressWarningsHolder,0,0,SuppressWarningsHolder,0,0,0,0,0,0,0,0,SuppressWarningsHolder,0,0,0,0,0,0,SuppressWarningsHolder,SuppressWarningsHolder,0,0,0,0,SuppressWarningsHolder,SuppressWarningsHolder,SuppressWarningsHolder,0,0,0,SuppressWarningsHolder,0,0,0,0,0,0,0
AvoidNestedBlocks,0,AvoidNestedBlocks,AvoidNestedBlocks,AvoidNestedBlocks,AvoidNestedBlocks,AvoidNestedBlocks,AvoidNestedBlocks,AvoidNestedBlocks,0,AvoidNestedBlocks,0,AvoidNestedBlocks,0,0,0,AvoidNestedBlocks,AvoidNestedBlocks,AvoidNestedBlocks,AvoidNestedBlocks,AvoidNestedBlocks,AvoidNestedBlocks,AvoidNestedBlocks,AvoidNestedBlocks,AvoidNestedBlocks,0,0,AvoidNestedBlocks,AvoidNestedBlocks,0,AvoidNestedBlocks,0,0,AvoidNestedBlocks,AvoidNestedBlocks,AvoidNestedBlocks,0,0,AvoidNestedBlocks,0,0,AvoidNestedBlocks,0,0,AvoidNestedBlocks,AvoidNestedBlocks,AvoidNestedBlocks,AvoidNestedBlocks,0,AvoidNestedBlocks,AvoidNestedBlocks,AvoidNestedBlocks,AvoidNestedBlocks,AvoidNestedBlocks,AvoidNestedBlocks,AvoidNestedBlocks,0,AvoidNestedBlocks,AvoidNestedBlocks,0,0,0,0,AvoidNestedBlocks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AvoidNestedBlocks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EmptyBlock,EmptyBlock,EmptyBlock,EmptyBlock,EmptyBlock,EmptyBlock,EmptyBlock,EmptyBlock,EmptyBlock,EmptyBlock,0,EmptyBlock,EmptyBlock,0,EmptyBlock,EmptyBlock,EmptyBlock,EmptyBlock,EmptyBlock,EmptyBlock,EmptyBlock,EmptyBlock,EmptyBlock,EmptyBlock,EmptyBlock,0,0,EmptyBlock,EmptyBlock,EmptyBlock,0,EmptyBlock,EmptyBlock,EmptyBlock,EmptyBlock,EmptyBlock,EmptyBlock,EmptyBlock,EmptyBlock,EmptyBlock,EmptyBlock,EmptyBlock,EmptyBlock,EmptyBlock,EmptyBlock,EmptyBlock,EmptyBlock,EmptyBlock,0,EmptyBlock,EmptyBlock,EmptyBlock,0,0,0,EmptyBlock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EmptyBlock,0,0,0,EmptyBlock,EmptyBlock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
