NaN,elastic_elasticsearch,ReactiveX_RxJava,apache_dubbo,zxing_zxing,skylot_jadx,eugenp_tutorials,JakeWharton_butterknife,Netflix_Hystrix,seata_seata,halo-dev_halo,apache_kafka,square_picasso,alibaba_nacos,apache_skywalking,redisson_redisson,apache_flink,Tencent_tinker,oracle_graal,apache_rocketmq,apache_shardingsphere,TeamNewPipe_NewPipe,orhanobut_logger,prestodb_presto,zhihu_Matisse,apache_hadoop,pinpoint-apm_pinpoint,Tencent_VasSonic,androidannotations_androidannotations,realm_realm-java,Netflix_zuul,apache_druid,Netflix_eureka,JakeWharton_ViewPagerIndicator,lingochamp_FileDownloader,liaohuqiu_android-Ultra-Pull-To-Refresh,pockethub_PocketHub,apache_zookeeper,openjdk_jdk,grpc_grpc-java,apereo_cas,Tencent_matrix,apache_pulsar,ChrisRM_material-theme-jetbrains,OpenAPITools_openapi-generator,Activiti_Activiti,dropwizard_metrics,square_dagger,JakeWharton_ActionBarSherlock,apache_shardingsphere-elasticjob,OpenFeign_feign,java-native-access_jna,apache_storm,Angel-ML_angel,JakeWharton_DiskLruCache,real-logic_aeron,sshahine_JFoenix,evernote_android-job,mrniko_netty-socketio,lightbend_config,square_otto,apache_jmeter,scribejava_scribejava,springfox_springfox,apache_beam,debezium,mybatis_generator,Alluxio_alluxio,Karumi_Dexter,orhanobut_dialogplus,micronaut-projects_micronaut-core,JodaOrg_joda-time,hibernate_hibernate-orm,junit-team_junit5,JakeWharton_NineOldAndroids,dromara_shenyu,square_android-times-square,HotBitmapGG_bilibili-android-client,quartz-scheduler_quartz,airbnb_DeepLinkDispatch,Netflix_ribbon,mapstruct_mapstruct,roboguice_roboguice,apache_ignite,apache_camel,apache_hive,bjmashibing_InternetArchitect,brianfrankcooper_YCSB,apache_rocketmq-externals,AntennaPod_AntennaPod,dromara_hmily,oblac_jodd,apache_incubator-heron,Atmosphere_atmosphere,powermock_powermock,Genymobile_gnirehtet,citerus_dddsample-core,querydsl_querydsl,oracle_opengrok,runelite_runelite
elastic_elasticsearch,1,0.125,0.5,0.315063019,0.325472277,0.25,0.221162934,0.229786258,0.224506628,0.260377822,0.180421959,0.283887487,0.325472277,0.211288564,0.225924029,0.257247878,0.331294578,0.272165527,0.224506628,0.311804782,0.262612866,0.252590743,0.315063019,0.223606798,0.214285714,0.05,0.205498734,0.32929278,0.208012574,0.229786258,0.257247878,0.229786258,0.125,0.304997141,0.267261242,0.280056017,0.210042013,0.088388348,0.315063019,0.26837252,0.211288564,0.324442842,0.285714286,0.282842712,0.247487373,0.208333333,0.243332132,0.267261242,0.311804782,0.229786258,0.111803399,0.34340141,0.377964473,0.270030862,0.300668897,0.277350098,0.202776776,0.208012574,0,0.240380987,0.328196231,0.366508333,0.242681336,0.365148372,0.223606798,0.280056017,0.412081692,0.253546276,0.192879187,0.255263735,0.192879187,0.3125,0.25,0.188982237,0.305734282,0.243332132,0.257247878,0,0.304997141,0.229786258,0.318198052,0.226133508,0.223606798,0.334076552,0.262612866,0.510310363,0.212132034,0.214373231,0.348155312,0.308476349,0.245049015,0.325395687,0,0.246182982,0.267261242,0.227830594,0,0.273861279,0.283473355
ReactiveX_RxJava,0.125,1,0.166666667,0,0.065094455,0,0,0.065653216,0,0.130188911,0.072168784,0,0.130188911,0,0,0.171498585,0.110431526,0.068041382,0,0.089087081,0.065653216,0,0,0,0,0.1,0,0.10976426,0,0.065653216,0.085749293,0.065653216,0,0,0,0.070014004,0,0,0.140028008,0.146385011,0,0.162221421,0,0.070710678,0.070710678,0,0,0,0.089087081,0.065653216,0,0,0,0,0.200445931,0.069337525,0,0,0.288675135,0,0,0,0,0.182574186,0.111803399,0.070014004,0.137360564,0,0,0.072932496,0.077151675,0.125,0.166666667,0,0.094072087,0,0,0,0,0.065653216,0,0,0,0.06681531,0.065653216,0,0,0,0,0.0949158,0,0.108465229,0,0,0,0.065094455,0,0,0.188982237
apache_dubbo,0.5,0.166666667,1,0.233380014,0.303774126,0.333333333,0.196589275,0.175075244,0.239473736,0.173585215,0.240562612,0.216295228,0.303774126,0.225374468,0.172132593,0.171498585,0.257673561,0.136082763,0.239473736,0.267261242,0.218844055,0.240562612,0.233380014,0.198761598,0.19047619,0,0.21919865,0.21952852,0.092450033,0.175075244,0.22866478,0.175075244,0.25,0.254164284,0.267261242,0.186704011,0.140028008,0.23570226,0.280056017,0.162650012,0.225374468,0.216295228,0.238095238,0.188561808,0.141421356,0.222222222,0.216295228,0.267261242,0.267261242,0.175075244,0,0.228934273,0.314970394,0.2057378,0.222717702,0.184900065,0.216295228,0.138675049,0,0.183147419,0.291729983,0.203615741,0.184900065,0.243432248,0.223606798,0.186704011,0.274721128,0.225374468,0.15430335,0.243108319,0.1028689,0.083333333,0.333333333,0.377964473,0.250858898,0.216295228,0.22866478,0,0.203331427,0.175075244,0.23570226,0.201007563,0.223606798,0.222717702,0.262612866,0.816496581,0.141421356,0.22866478,0.290129427,0.253108799,0.186704011,0.216930458,0,0.246182982,0.222717702,0.173585215,0,0.182574186,0.125988158
zxing_zxing,0.315063019,0,0.233380014,1,0.528672724,0.140028008,0.681318115,0.698689975,0.528145228,0.382831972,0.505282552,0.636035191,0.455752348,0.568057282,0.668868912,0.456277501,0.55668624,0.647883544,0.528145228,0.611259637,0.735463131,0.707395573,0.647058824,0.667972577,0.700140042,0.448089627,0.66759342,0.660913041,0.271857473,0.698689975,0.480292106,0.698689975,0.420084025,0.640622133,0.374240594,0.392156863,0.705882353,0.198029509,0.392156863,0.601274712,0.662733496,0.477026393,0.680136041,0.376256066,0.376256066,0.583450035,0.613319648,0.374240594,0.611259637,0.698689975,0.062622429,0.442389503,0.344016481,0.691417305,0.523936832,0.388367819,0.681466276,0.660225292,0.161690417,0.692435743,0.490204422,0.667178615,0.640806901,0.409047994,0.532290647,0.392156863,0.500092481,0.591726335,0.669810514,0.633180712,0.496956188,0.350070021,0.233380014,0.317553674,0.619118167,0.613319648,0.576350528,0.140028008,0.640622133,0.698689975,0.712906231,0.633300496,0.313112146,0.561360891,0.75384971,0.171498585,0.712906231,0.528321317,0.341260465,0.637961778,0.705882353,0.683467649,0.140028008,0.413670152,0.692345099,0.692743569,0.161690417,0.536875492,0.264628062
skylot_jadx,0.325472277,0.065094455,0.303774126,0.528672724,1,0,0.537468616,0.512839245,0.491034992,0.559322034,0.52615222,0.506866324,0.644067797,0.528142618,0.571448749,0.446544281,0.632586245,0.531494003,0.491034992,0.649496401,0.547028528,0.52615222,0.692743569,0.543407676,0.483558812,0.494717862,0.535073128,0.700214384,0.252755351,0.512839245,0.535853137,0.512839245,0.390566733,0.536047816,0.2783556,0.546902818,0.473982442,0.184114924,0.546902818,0.559026018,0.528142618,0.485746894,0.502157228,0.533933278,0.570756263,0.585850099,0.485746894,0.2783556,0.649496401,0.512839245,0,0.572250311,0.46746444,0.522303212,0.574108426,0.559672562,0.527985754,0.523564655,0,0.536484667,0.379800088,0.66801449,0.541618609,0.42784442,0.436666882,0.546902818,0.625898778,0.462124791,0.502214627,0.493740114,0.482126042,0.325472277,0.130188911,0.147620349,0.67359284,0.485746894,0.446544281,0,0.555901438,0.512839245,0.533933278,0.49066792,0.378444631,0.45232785,0.529933886,0.265747002,0.478698801,0.513525923,0.52124855,0.667277167,0.528672724,0.649564621,0,0.544855003,0.539313975,0.491525424,0,0.332767882,0.295240699
eugenp_tutorials,0.25,0,0.333333333,0.140028008,0,1,0.147441956,0.131306433,0.179605302,0.130188911,0.144337567,0.162221421,0.130188911,0.169030851,0,0.171498585,0.110431526,0.136082763,0.179605302,0.089087081,0.131306433,0.144337567,0.140028008,0.149071198,0,0,0.164398987,0.10976426,0,0.131306433,0.171498585,0.131306433,0.25,0.15249857,0.267261242,0.140028008,0,0,0.140028008,0.097590007,0.169030851,0.162221421,0.142857143,0.141421356,0,0.166666667,0.162221421,0.267261242,0.089087081,0.131306433,0,0.137360564,0,0.15430335,0,0.138675049,0.162221421,0,0,0.137360564,0.145864991,0.122169444,0,0.182574186,0.223606798,0.140028008,0.137360564,0.169030851,0,0,0.15430335,0,0.333333333,0.377964473,0.094072087,0.162221421,0.171498585,0,0.15249857,0.131306433,0.141421356,0,0.223606798,0.133630621,0.131306433,0.40824829,0,0.171498585,0.174077656,0.0949158,0.140028008,0.108465229,0,0.123091491,0.133630621,0.130188911,0,0.182574186,0
JakeWharton_butterknife,0.221162934,0,0.196589275,0.681318115,0.537468616,0.147441956,1,0.851843402,0.63555257,0.42229677,0.617160985,0.861056772,0.499078,0.623055983,0.685248289,0.581579998,0.618725129,0.621993574,0.63555257,0.564812458,0.813123247,0.936382184,0.660672111,0.98907071,0.779336054,0.648744607,0.872615098,0.647354288,0.286251287,0.851843402,0.556293911,0.851843402,0.589767825,0.854418126,0.433460723,0.41292007,0.805194136,0.312771621,0.41292007,0.604332186,0.847356137,0.597956092,0.821462327,0.396177387,0.396177387,0.712636121,0.884975015,0.433460723,0.564812458,0.851843402,0.131876095,0.445559625,0.362230838,0.841779147,0.630488325,0.429376931,0.813220284,0.756521259,0,0.931624671,0.430132394,0.702503172,0.7974143,0.376867331,0.494535355,0.41292007,0.567075887,0.872278376,0.955533086,0.66670521,0.591520482,0.221162934,0.196589275,0.390094749,0.596417418,0.884975015,0.859726954,0.147441956,0.899387501,0.851843402,0.854909098,0.755742182,0.395628284,0.551677284,0.79376317,0.120385853,0.792354773,0.682724346,0.282329851,0.587771989,0.887778149,0.671677672,0.147441956,0.399274705,0.866921447,0.825398231,0,0.592220092,0.278639106
Netflix_Hystrix,0.229786258,0.065653216,0.175075244,0.698689975,0.512839245,0.131306433,0.851843402,1,0.565999957,0.427366037,0.587525984,0.788126497,0.495744603,0.554870952,0.695015091,0.630528289,0.6235159,0.679004605,0.565999957,0.596583045,0.913793103,0.852860299,0.64353024,0.841682315,0.862870845,0.630270878,0.755532561,0.677399411,0.327760668,1,0.540452819,1,0.525225731,0.800961731,0.350931203,0.422891301,0.900942336,0.278543007,0.422891301,0.69196657,0.732429657,0.617720768,0.844112783,0.408529744,0.427099278,0.634647759,0.788126497,0.350931203,0.596583045,1,0.117444044,0.432871816,0.397033334,0.830701921,0.614129606,0.437014224,0.788126497,0.801192745,0.227429413,0.919852609,0.402213246,0.641665358,0.801192745,0.431516971,0.411054154,0.422891301,0.613235073,0.754624495,0.810440898,0.78527348,0.668613741,0.196959649,0.218844055,0.347404167,0.617613508,0.788126497,0.743122626,0.131306433,0.820985775,1,0.854198556,0.831397962,0.411054154,0.543943365,0.879310345,0.107211253,0.891337623,0.608009421,0.297147709,0.610689698,0.937715492,0.712109115,0.131306433,0.420230319,0.947514249,0.957299924,0.151619609,0.671248622,0.248145833
seata_seata,0.224506628,0,0.239473736,0.528145228,0.491034992,0.179605302,0.63555257,0.565999957,1,0.374121899,0.725866186,0.670124029,0.467652374,0.910765111,0.510112785,0.431228773,0.515686277,0.513264903,1,0.464014849,0.565999957,0.622171017,0.628744319,0.642575463,0.513158006,0.466973785,0.649592455,0.51257032,0.199254193,0.565999957,0.492832883,0.565999957,0.628618557,0.629959691,0.432013825,0.402396364,0.528145228,0.317500318,0.402396364,0.438192068,0.667894415,0.466173237,0.590131707,0.381000381,0.33020033,0.838158076,0.670124029,0.432013825,0.464014849,0.565999957,0.321287732,0.394730969,0.373364328,0.637415095,0.528016897,0.398508385,0.611852374,0.523042255,0,0.592096454,0.366773762,0.614383839,0.54794903,0.393495501,0.401609664,0.402396364,0.542755083,0.607176741,0.609701395,0.471566265,0.415705497,0.179605302,0.179605302,0.40730654,0.489979521,0.670124029,0.616041104,0.179605302,0.657349243,0.565999957,0.584200584,0.595683397,0.321287732,0.480015361,0.518833294,0.146647115,0.533400533,0.954863711,0.3126527,0.477326664,0.578444773,0.584427906,0.179605302,0.375834035,0.576018433,0.53780023,0,0.426286793,0.135768847
halo-dev_halo,0.260377822,0.130188911,0.173585215,0.382831972,0.559322034,0.130188911,0.42229677,0.427366037,0.374121899,1,0.413405315,0.443508033,0.915254237,0.396106963,0.386568271,0.379562639,0.761978886,0.425195203,0.374121899,0.603103801,0.444460679,0.413405315,0.473982442,0.426963174,0.371968317,0.46868008,0.428058502,0.457282863,0.180539536,0.427366037,0.401889853,0.427366037,0.260377822,0.476486947,0.2087667,0.92973479,0.382831972,0.138086193,0.893274602,0.533615744,0.418112906,0.443508033,0.409165149,0.920574618,0.902163126,0.455661188,0.422388603,0.2087667,0.603103801,0.427366037,0.116444502,0.912023934,0.565878006,0.401771702,0.4175334,0.938805588,0.359030313,0.379133026,0.075164603,0.411304911,0.30384007,0.508963421,0.39718698,0.308998748,0.262000129,0.92973479,0.715312889,0.418112906,0.381683117,0.398790092,0.401771702,0.195283366,0.173585215,0.098413566,0.636851412,0.422388603,0.401889853,0.130188911,0.436779702,0.427366037,0.423464324,0.333654186,0.349333506,0.295752825,0.376082113,0.212597601,0.38664134,0.401889853,0.657226433,0.642563198,0.41929216,0.451871041,0.130188911,0.400628679,0.434930625,0.406779661,0,0.356537016,0.196827133
