Project,elastic_elasticsearch,ReactiveX_RxJava,apache_dubbo,zxing_zxing,skylot_jadx,eugenp_tutorials,JakeWharton_butterknife,Netflix_Hystrix,seata_seata,halo-dev_halo,apache_kafka,square_picasso,alibaba_nacos,apache_skywalking,redisson_redisson,apache_flink,Tencent_tinker,oracle_graal,apache_rocketmq,apache_shardingsphere,TeamNewPipe_NewPipe,orhanobut_logger,prestodb_presto,zhihu_Matisse,apache_hadoop,pinpoint-apm_pinpoint,Tencent_VasSonic,androidannotations_androidannotations,realm_realm-java,Netflix_zuul,apache_druid,Netflix_eureka,JakeWharton_ViewPagerIndicator,lingochamp_FileDownloader,liaohuqiu_android-Ultra-Pull-To-Refresh,pockethub_PocketHub,apache_zookeeper,openjdk_jdk,grpc_grpc-java,apereo_cas,Tencent_matrix,apache_pulsar,ChrisRM_material-theme-jetbrains,OpenAPITools_openapi-generator,Netflix_SimianArmy,Activiti_Activiti,dropwizard_metrics,square_dagger,JakeWharton_ActionBarSherlock,apache_shardingsphere-elasticjob,OpenFeign_feign,java-native-access_jna,apache_storm,Angel-ML_angel,JakeWharton_DiskLruCache,real-logic_aeron,sshahine_JFoenix,evernote_android-job,mrniko_netty-socketio,lightbend_config,square_otto,apache_jmeter,scribejava_scribejava,springfox_springfox,apache_beam,debezium,mybatis_generator,Alluxio_alluxio,Karumi_Dexter,orhanobut_dialogplus,micronaut-projects_micronaut-core,JodaOrg_joda-time,hibernate_hibernate-orm,junit-team_junit5,JakeWharton_NineOldAndroids,dromara_shenyu,square_android-times-square,HotBitmapGG_bilibili-android-client,quartz-scheduler_quartz,spring-projects_spring-security-oauth,airbnb_DeepLinkDispatch,Netflix_ribbon,mapstruct_mapstruct,roboguice_roboguice,apache_ignite,apache_camel,apache_hive,bjmashibing_InternetArchitect,brianfrankcooper_YCSB,apache_rocketmq-externals,AntennaPod_AntennaPod,dromara_hmily,oblac_jodd,apache_incubator-heron,Atmosphere_atmosphere,powermock_powermock,Genymobile_gnirehtet,citerus_dddsample-core,querydsl_querydsl,oracle_opengrok
elastic_elasticsearch,0,4.242640687,3.605551275,7,7.416198487,3.872983346,7.071067812,7.745966692,6.08276253,7.681145748,7.348469228,6.32455532,7.416198487,6.403124237,7.874007874,6.164414003,8.602325267,7.348469228,6.08276253,10.67707825,7.615773106,7.071067812,7,7,7.280109889,6.244997998,6.557438524,8.660254038,4.795831523,7.745966692,6.164414003,7.745966692,5.291502622,6.557438524,4.69041576,7.141428429,7.416198487,4.69041576,7,9.949874371,6.403124237,6.164414003,7,7.071067812,7.681145748,7.211102551,6.480740698,6.480740698,4.69041576,10.67707825,7.745966692,4.358898944,7,5.291502622,6.633249581,7.348469228,7.211102551,6.633249581,7.483314774,4.358898944,7.416198487,6.708203932,7.681145748,7.348469228,5.477225575,5.291502622,7.141428429,6.708203932,6.244997998,6.92820323,7,6.92820323,4.69041576,4.358898944,4.358898944,10.14889157,6.480740698,6.164414003,4.123105626,4,6.557438524,7.745966692,6.92820323,6.92820323,5.291502622,7.211102551,7.615773106,3.464101615,7.348469228,6.32455532,5.744562647,10.04987562,7.280109889,8.774964387,4.123105626,8.124038405,7.483314774,7.810249676,4.358898944,5.830951895
ReactiveX_RxJava,4.242640687,0,3.31662479,7.416198487,7.810249676,2.236067977,7.071067812,7.745966692,5.916079783,7.681145748,7.071067812,6.480740698,7.681145748,6.244997998,8,5.830951895,9.055385138,7.483314774,5.916079783,11.22497216,7.745966692,7.211102551,7.416198487,7,7.280109889,5.196152423,6.403124237,9.110433579,4.123105626,7.745966692,6,7.745966692,4.472135955,6.8556546,4.242640687,7.280109889,7.416198487,3.464101615,7.141428429,10.14889157,6.244997998,6.164414003,7.280109889,7.211102551,7.681145748,7.211102551,6.32455532,6.480740698,4.242640687,11.22497216,7.745966692,3,7.549834435,5.656854249,6.782329983,7.348469228,7.348469228,6.480740698,7.483314774,2.236067977,7.549834435,7.141428429,8.426149773,7.483314774,5.477225575,4.69041576,7.280109889,7.280109889,6.244997998,6.782329983,7,6.633249581,4.242640687,3.31662479,3.31662479,10.63014581,6.480740698,6.164414003,2.236067977,2,6.8556546,7.745966692,7.348469228,6.92820323,4.898979486,7.615773106,7.745966692,3.16227766,7.348469228,6.164414003,6.08276253,10.53565375,7.416198487,9.219544457,2.236067977,8.366600265,7.745966692,7.810249676,2.645751311,5.830951895
apache_dubbo,3.605551275,3.31662479,0,7.071067812,7.348469228,2.828427125,6.8556546,7.681145748,5.656854249,7.745966692,6.8556546,6.244997998,7.348469228,6,7.810249676,6.08276253,8.774964387,7.549834435,5.656854249,10.81665383,7.549834435,6.8556546,7.071067812,6.782329983,7.071067812,5.830951895,6.164414003,8.94427191,4.472135955,7.681145748,5.916079783,7.681145748,4.358898944,6.480740698,4.123105626,7.211102551,7.348469228,3.605551275,6.92820323,10.19803903,6,6.244997998,6.92820323,7.141428429,7.615773106,7.280109889,6.08276253,6.244997998,4.123105626,10.81665383,7.681145748,3.741657387,7.211102551,5.196152423,6.557438524,7.416198487,7.280109889,6.244997998,7.416198487,3.464101615,7.348469228,6.633249581,8.124038405,7.280109889,5.567764363,4.795831523,7.211102551,7.071067812,6,6.708203932,6.782329983,6.8556546,4.795831523,3.464101615,3.16227766,10.29563014,6.244997998,5.916079783,3.16227766,3,6.633249581,7.681145748,7,6.708203932,4.795831523,7.416198487,7.416198487,1.732050808,7.280109889,5.916079783,5.656854249,10.19803903,7.211102551,9.055385138,3.16227766,7.937253933,7.416198487,7.745966692,3.464101615,5.744562647
zxing_zxing,7,7.416198487,7.071067812,0,7.211102551,7.071067812,5.567764363,5.744562647,6.32455532,8.246211251,7,5.744562647,7.745966692,6.164414003,6.08276253,6.8556546,7.810249676,6.08276253,6.32455532,8.888194417,5.385164807,5.385164807,6,5.656854249,5.477225575,6.633249581,5.477225575,6.92820323,7.071067812,5.744562647,6.708203932,5.744562647,6.557438524,5.830951895,6.708203932,7.874007874,5.477225575,7.141428429,7.874007874,8.246211251,5.477225575,6.8556546,5.656854249,7.937253933,5.656854249,7.937253933,6.08276253,5.916079783,6.708203932,8.888194417,5.744562647,7.348469228,7.615773106,7.280109889,5.385164807,7.141428429,7.937253933,5.385164807,5.916079783,7.071067812,5.656854249,7.071067812,6.32455532,6.08276253,7,6.08276253,7.874007874,7.211102551,6,5.567764363,6,6.8556546,6.8556546,7.071067812,6.782329983,8.366600265,5.916079783,6.08276253,7.071067812,7.141428429,5.830951895,5.744562647,5.385164807,5.916079783,7.141428429,6.8556546,5.196152423,7.141428429,5.385164807,6.403124237,7.483314774,8.124038405,5.477225575,6.782329983,7.071067812,8.306623863,5.744562647,5.830951895,7.071067812,6.244997998
skylot_jadx,7.416198487,7.810249676,7.348469228,7.211102551,0,7.745966692,7,7.549834435,6.92820323,7.211102551,7.141428429,7,6.480740698,6.782329983,7.141428429,7.280109889,7.280109889,7.280109889,6.92820323,8.544003745,7.280109889,7.141428429,5.830951895,6.92820323,7.483314774,6.782329983,6.782329983,6.633249581,7.615773106,7.549834435,6.708203932,7.549834435,7.141428429,6.92820323,7.549834435,7.071067812,7.615773106,7.681145748,7.071067812,8.717797887,6.782329983,7.141428429,7.348469228,7.141428429,7.615773106,6.8556546,6.403124237,7.141428429,7.549834435,8.544003745,7.549834435,8,6.92820323,7,7,7,7,6.8556546,7.280109889,7.874007874,7.211102551,8.124038405,6.480740698,7.141428429,7.280109889,7,7.071067812,6.480740698,7.211102551,7.141428429,7.348469228,7.280109889,7.416198487,7.874007874,7.745966692,7.874007874,7.141428429,7.280109889,7.745966692,7.681145748,6.782329983,7.549834435,7.141428429,7.280109889,7.280109889,7.937253933,7.416198487,7.416198487,7.549834435,6.8556546,6.782329983,7.874007874,7.211102551,7.211102551,7.745966692,7.549834435,7.280109889,7.745966692,7.874007874,7.810249676
eugenp_tutorials,3.872983346,2.236067977,2.828427125,7.071067812,7.745966692,0,6.708203932,7.549834435,5.477225575,7.615773106,6.8556546,6.08276253,7.615773106,5.830951895,7.810249676,5.744562647,9,7.280109889,5.477225575,11.18033989,7.549834435,6.8556546,7.071067812,6.633249581,7.071067812,5.099019514,6,9.055385138,3.741657387,7.549834435,5.744562647,7.549834435,3.872983346,6.480740698,3.605551275,7.071067812,7.211102551,3,7.071067812,10.19803903,5.830951895,6.08276253,6.92820323,7,7.483314774,7.141428429,5.916079783,6.08276253,3.605551275,11.18033989,7.549834435,2.449489743,7.211102551,5.385164807,6.403124237,7.549834435,7.141428429,6.08276253,7.280109889,2,7.211102551,6.782329983,8.124038405,7.280109889,5.385164807,4.358898944,7.071067812,7.211102551,5.830951895,6.557438524,6.92820323,6.403124237,4.123105626,2.828427125,2.449489743,10.58300524,6.08276253,5.744562647,1.414213562,1,6.480740698,7.549834435,7,6.708203932,4.358898944,7.416198487,7.549834435,2.236067977,7.141428429,5.744562647,5.656854249,10.48808848,7.071067812,9.16515139,1.414213562,8.062257748,7.416198487,7.615773106,2,5.385164807
JakeWharton_butterknife,7.071067812,7.071067812,6.8556546,5.567764363,7,6.708203932,0,4,5.385164807,7.810249676,6,3.464101615,7.280109889,5.567764363,5.830951895,5.830951895,7.211102551,6.164414003,5.385164807,9.273618495,4.472135955,2.449489743,5.744562647,1,4.582575695,5.196152423,3.31662479,7,6.708203932,4,6,4,5.477225575,3.605551275,6.164414003,7.549834435,4.358898944,6.480740698,7.549834435,8.185352772,3.605551275,5.830951895,4.123105626,7.615773106,3.872983346,7.615773106,4.898979486,3.16227766,6.164414003,9.273618495,4,6.8556546,7.416198487,6.92820323,3.741657387,6.164414003,7.483314774,4,4.898979486,7,2.645751311,7.280109889,5.916079783,4.472135955,6.92820323,6,7.549834435,6.557438524,3.31662479,2,5.567764363,6,7.071067812,6.8556546,6.244997998,8.544003745,3.16227766,3.464101615,6.708203932,6.782329983,3,4,3.741657387,4.69041576,6.480740698,6.782329983,4.69041576,6.92820323,4.472135955,5.099019514,7.549834435,8.544003745,3.31662479,6.8556546,6.708203932,8.246211251,3.741657387,4.358898944,7,5.656854249
Netflix_Hystrix,7.745966692,7.745966692,7.681145748,5.744562647,7.549834435,7.549834435,4,0,6.403124237,8.185352772,6.633249581,4.69041576,7.681145748,6.557438524,6,6,7.348469228,6,6.403124237,9.055385138,3.16227766,4,6.244997998,4.123105626,3.872983346,5.916079783,5,6.8556546,7.280109889,0,6.633249581,0,6.480740698,4.582575695,7.211102551,7.937253933,3.31662479,7.348469228,7.937253933,7.416198487,5.196152423,6.164414003,4.123105626,8,1,7.874007874,6,4.69041576,7.211102551,9.055385138,0,7.681145748,7.937253933,7.348469228,4.242640687,6.633249581,7.874007874,4.69041576,4.69041576,7.416198487,3,7.937253933,6.708203932,4.69041576,7.211102551,7.071067812,7.937253933,6.557438524,5,4.472135955,4.795831523,5.830951895,7.874007874,7.549834435,7.141428429,8.426149773,4.69041576,5.099019514,7.549834435,7.615773106,4.358898944,0,4,4.242640687,7.071067812,7.211102551,3.741657387,7.745966692,3.464101615,6.164414003,8.062257748,8.426149773,2.645751311,6.557438524,7.549834435,8.485281374,2.449489743,2.236067977,7.549834435,5.656854249
seata_seata,6.08276253,5.916079783,5.656854249,6.32455532,6.92820323,5.477225575,5.385164807,6.403124237,0,7.615773106,4.795831523,4.795831523,7.071067812,2.449489743,6.8556546,6.08276253,7.810249676,6.557438524,0,9.949874371,6.403124237,5.567764363,5.656854249,5.291502622,6.32455532,5.477225575,4.898979486,7.874007874,6,6.403124237,5.744562647,6.403124237,4.358898944,5.291502622,5.196152423,7.071067812,6.32455532,5.385164807,7.071067812,9.273618495,4.69041576,6.08276253,5.830951895,7.141428429,6.32455532,7.416198487,3.31662479,4.795831523,5.196152423,9.949874371,6.403124237,5.291502622,7.211102551,6.08276253,5.196152423,6.557438524,7.141428429,5.196152423,6.403124237,5.830951895,6,7.071067812,6.480740698,6.244997998,6.08276253,5.567764363,7.071067812,6.32455532,5.099019514,5.385164807,6.480740698,6.557438524,6.244997998,5.830951895,5.099019514,9.273618495,4.795831523,5,5.477225575,5.567764363,5.099019514,6.403124237,5.916079783,5.567764363,5.916079783,6.8556546,6.708203932,5.744562647,6.244997998,1.732050808,6.633249581,9.273618495,6,7.483314774,5.477225575,7.937253933,6.244997998,6.633249581,5.830951895,5.916079783
halo-dev_halo,7.681145748,7.681145748,7.745966692,8.246211251,7.211102551,7.615773106,7.810249676,8.185352772,7.615773106,0,7.937253933,7.416198487,3.16227766,7.615773106,8.544003745,7.681145748,5.916079783,8.062257748,7.615773106,9,8.062257748,7.937253933,7.615773106,7.745966692,8.246211251,6.92820323,7.483314774,8.831760866,7.874007874,8.185352772,7.549834435,8.185352772,7.681145748,7.348469228,7.810249676,2.828427125,8.246211251,7.810249676,3.464101615,8.94427191,7.483314774,7.416198487,8,3,8.124038405,3.31662479,7.280109889,7.549834435,7.810249676,9,8.185352772,7.745966692,3.16227766,6.403124237,7.810249676,8.185352772,2.645751311,7.937253933,8.306623863,7.745966692,8.124038405,8.602325267,7.874007874,8.185352772,7.937253933,7.810249676,2.828427125,5.656854249,7.483314774,7.937253933,8,7.810249676,7.937253933,7.745966692,7.874007874,8.246211251,7.549834435,7.549834435,7.615773106,7.681145748,7.615773106,8.185352772,7.937253933,8.306623863,7.416198487,9,8.544003745,7.549834435,8.185352772,7.549834435,5.830951895,8.124038405,8,8.94427191,7.615773106,8.660254038,8.062257748,8.366600265,7.874007874,7.681145748
